"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
172,"05164184","國業營造股份有限公司","臺北市士林區承德路4段246號5樓","葉正福",36000000,"1021226"
173,"05195784","綠葉創意股份有限公司","臺北市中正區廈門街131巷10號1樓","高李春枝",9000000,"1021216"
174,"05257063","薇薇有限公司","臺北市大同區重慶北路1段29號9樓","李淑惠",21000000,"1021209"
175,"05258865","聯華氣體工業股份有限公司","臺北市大同區承德路1段44號6樓","歐  文",3771178000,"1021218"
176,"05260068","允麒企業股份有限公司","臺北市大同區重慶北路3段137巷29號","王茂堯",15000000,"1021216"
177,"05385905","建堡營造有限公司","臺中市北區賴村里梅亭街460號","陳秀霞",93300000,"1021230"
178,"05406486","美而快實業股份有限公司","臺北市南港區南港路3段16巷8號","廖承豪",40000000,"1021205"
179,"05413509","冠好企業有限公司","新北市汐止區環河街88巷6號3樓","莊炳榮",40000000,"1021219"
180,"05417250","強兵企業有限公司","桃園縣蘆竹鄉南崁路一段231巷12號","陳怡瑩",15000000,"1021212"
181,"05501637","三極有限公司","臺北市文山區羅斯福路5段53巷5之1號1樓","顏志樺",5000000,"1021212"
182,"05506582","上毅企業有限公司","臺北市文山區景興路15號2樓","梁德光",8000000,"1021231"
183,"05591736","中部通信有限公司","臺中市南區五權南路336號一樓","邱志民",1000000,"1021212"
184,"05592088","白馬製造股份有限公司","臺中市南屯區寶山里工業區25路16號","李明堂",20000000,"1021216"
185,"05592762","高銘玻璃企業有限公司","臺中市西屯區大河里永輝路75巷49號","賴秀娥",17000000,"1021203"
186,"05639648","柏拿有限公司","臺北市信義區光復南路505號11樓之6","賴淑美",5000000,"1021227"
187,"05644305","飛綠股份有限公司","臺北市大安區敦化南路2段76號19樓","劉聖畬",100000000,"1021216"
188,"05644699","珍輝實業有限公司","桃園縣楊梅市梅溪里新農街二段209巷79之1號","汪珍輝",6000000,"1021225"
189,"05693810","申發企業股份有限公司","臺中市大雅區二和里學府路179巷32號","柯玲珠",5000000,"1021226"
190,"05693939","三鎰股份有限公司","臺中市神岡區庄前里神林路70巷30號","張龍飛",90775000,"1021205"
191,"05695789","弘冠通運股份有限公司","臺中市梧棲區頂寮里四維中路337號9樓之3","時祥福",12600000,"1021202"
