committee,lgno,name,term,sessionPeriod,isCoChairman,
國防委員會,00205,盧秀燕,4,2,Y,
預算及決算委員會,00016,朱立倫,4,2,N,
預算及決算委員會,00022,沈智慧,4,2,N,
預算及決算委員會,00035,李顯榮,4,2,N,
預算及決算委員會,00057,林國華,4,2,N,
預算及決算委員會,00075,邱創良,4,2,N,
預算及決算委員會,00094,徐少萍,4,2,N,
預算及決算委員會,00102,許添財,4,2,N,
預算及決算委員會,00120,張福興,4,2,Y,
預算及決算委員會,00136,陳朝容,4,2,N,
預算及決算委員會,00161,黃義交,4,2,N,
預算及決算委員會,00193,劉文雄,4,2,N,
預算及決算委員會,00197,劉政鴻,4,2,Y,
預算及決算委員會,00209,謝言信,4,2,N,
司法委員會,00042,余政道,4,2,N,
司法委員會,00059,林進春,4,2,Y,
司法委員會,00061,林瑞圖,4,2,N,
司法委員會,00073,邱太三,4,2,Y,
司法委員會,00089,高育仁,4,2,N,
司法委員會,00096,徐志明,4,2,N,
司法委員會,00099,翁重鈞,4,2,N,
司法委員會,00112,張文儀,4,2,N,
司法委員會,00155,彭紹瑾,4,2,N,
司法委員會,00179,潘維剛,4,2,Y,
司法委員會,00196,劉炳偉,4,2,N,
司法委員會,00198,劉俊雄,4,2,N,
司法委員會,00206,盧逸峰,4,2,N,
法制委員會,00010,王金平,4,2,N,
法制委員會,00018,朱惠良,4,2,Y,
法制委員會,00019,朱鳳芝,4,2,Y,
法制委員會,00028,李俊毅,4,2,Y,
法制委員會,00034,李應元,4,2,N,
法制委員會,00062,林濁水,4,2,N,
法制委員會,00065,卓榮泰,4,2,N,
法制委員會,00118,張俊雄,4,2,N,
法制委員會,00127,陳其邁,4,2,N,
法制委員會,00159,黃昭順,4,2,N,
法制委員會,00176,廖福本,4,2,N,
法制委員會,00184,鄭龍水,4,2,N,
法制委員會,00194,劉光華,4,2,N,
法制委員會,00208,營志宏,4,2,N,
法制委員會,00213,韓國瑜,4,2,N,
法制委員會,00221,關沃暖,4,2,N,
內政委員會,00015,伍澤元,4,3,N,
內政委員會,00019,朱鳳芝,4,3,N,
內政委員會,00027,李炷烽,4,3,N,
內政委員會,00058,林國龍,4,3,N,
內政委員會,00072,周錫瑋,4,3,N,
內政委員會,00087,侯惠仙,4,3,N,
內政委員會,00103,許登宮,4,3,N,
內政委員會,00110,章仁香,4,3,N,
內政委員會,00154,馮滬祥,4,3,N,
內政委員會,00162,黃爾璇,4,3,N,
內政委員會,00165,楊仁福,4,3,Y,
內政委員會,00183,鄭朝明,4,3,N,
內政委員會,00184,鄭龍水,4,3,N,
內政委員會,00189,蔡家福,4,3,N,
內政委員會,00208,營志宏,4,3,Y,
內政委員會,00212,戴振耀,4,3,Y,
內政委員會,00224,蘇煥智,4,3,N,
經濟委員會,00028,李俊毅,4,3,N,
經濟委員會,00053,林政則,4,3,N,
經濟委員會,00054,林春德,4,3,N,
經濟委員會,00059,林進春,4,3,N,
經濟委員會,00063,林豐喜,4,3,Y,
經濟委員會,00088,唐碧娥,4,3,N,
經濟委員會,00090,高揚昇,4,3,N,
經濟委員會,00095,徐成焜,4,3,N,
經濟委員會,00098,翁金珠,4,3,N,
經濟委員會,00132,陳振雄,4,3,N,
經濟委員會,00140,陳勝宏,4,3,N,
經濟委員會,00147,曾振農,4,3,N,
經濟委員會,00171,葉宜津,4,3,N,
經濟委員會,00201,劉憲同,4,3,N,
經濟委員會,00205,盧秀燕,4,3,N,
經濟委員會,00216,鍾紹和,4,3,Y,
經濟委員會,00217,顏錦福,4,3,N,
經濟委員會,00219,蕭苑瑜,4,3,N,
經濟委員會,00222,羅明才,4,3,Y,
財政委員會,00006,王令麟,4,3,N,
財政委員會,00017,朱星羽,4,3,N,
財政委員會,00021,沈富雄,4,3,N,
財政委員會,00036,吳光訓,4,3,N,
財政委員會,00042,余政道,4,3,N,
財政委員會,00055,林重謨,4,3,N,
財政委員會,00080,洪性榮,4,3,N,
財政委員會,00102,許添財,4,3,Y,
財政委員會,00117,張俊宏,4,3,N,
財政委員會,00161,黃義交,4,3,N,
財政委員會,00192,蔡豪,4,3,N,
財政委員會,00209,謝言信,4,3,N,
