MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
D01094,臺南市善化區15鄰550號東北方附近,2019-05-14,臺南市,善化區,臺南市善化區15鄰550號東北方附近,手機基地臺,7.9E-06,mW/cm<sup>2</sup>,True
U10567,北埔路與建國街口落地型變壓器量測,2019-05-09,花蓮縣,新城鄉,北埔路與建國街口,落地型變壓器,2.5,mG,True
D01095,臺南市麻豆區國道1號及麻學路一段交叉路段附近,2019-04-25,臺南市,麻豆區,臺南市麻豆區國道1號及麻學路一段交叉路段附近,手機基地臺,0.000103,mW/cm<sup>2</sup>,True
V00987,知本廣播電台,2019-05-22,臺東縣,台東市,四維路三段59巷8號12樓之10,FM廣播電臺,0.01745,mW/cm<sup>2</sup>,True
B01128,大仁國小旁落地型變壓器,2019-05-22,臺中市,西屯區,重慶路200號,落地型變壓器,21.62,mG,True
D01088,臺南市善化區臺灣中油直營站(茄拔站)東南方附近,2019-05-14,臺南市,善化區,臺南市善化區臺灣中油直營站(茄拔站),手機基地臺,6.7E-06,mW/cm<sup>2</sup>,True
D01087,臺南市善化區臺灣中油直營(茄拔站)北方附近,2019-05-14,臺南市,善化區,臺南市善化區臺灣中油直營(茄拔站),手機基地臺,1.2E-05,mW/cm<sup>2</sup>,True
D01085,臺南市善化區臺19甲線南溪尾巴士站附近,2019-05-14,臺南市,善化區,臺南市善化區臺19甲線南溪尾巴士站,手機基地臺,1.12E-05,mW/cm<sup>2</sup>,True
D01084,臺南市善化區善化糖廠門市部西北方附近,2019-05-14,臺南市,善化區,臺南市善化區善化糖廠門市部西北方附近,手機基地臺,9.7E-06,mW/cm<sup>2</sup>,True
D01083,臺南市善化區陽明路及嘉南大圳善化支線交叉路段附近,2019-05-14,臺南市,善化區,臺南市善化區陽明路,手機基地臺,1.12E-05,mW/cm<sup>2</sup>,True
E01249,HE108-05-001 (AM復興廣播電臺),2019-05-17,高雄市,鳥松區,澄清路819號,AM廣播電臺,11.2,V/m,True
E01248,LE108-05-002,2019-05-14,高雄市,苓雅區,高雄市苓雅區五權街19號附近,落地型變壓器,22.142,mG,True
