UNIQUE_IDENTIFIER,PRODUCT_TYPE,PRODUCT,NAME,EVENT,APPLICANT,DATE_OF_EXPIRATION,DATE_OF_APPROVAL
"SYN-IR1Ø2-7xMON-15985-7xMON-88913-8xMON-887Ø1-3","Stacked trait","Cotton","COT102xMON15985xMON88913xMON88701 Cotton","COT102xMON15985xMON88913xMON88701","香港商孟山都遠東股份有限公司台灣分公司","2022-08-01","2017-08-01"
"MON-ØØ531-6","Single trait","Cotton","Bollgard Cotton","MON531","香港商孟山都遠東股份有限公司台灣分公司","2020-06-08","2015-06-08"
"MON-887Ø1-3xMON-88913-8xMON-15985-7","Stacked trait","Cotton","MON88701 x MON88913 x MON15985 Cotton","MON88701xMON88913xMON15985","香港商孟山都遠東股份有限公司台灣分公司","2022-08-03","2017-08-03"
"MON-887Ø1-3xMON-88913-8","Stacked trait","Cotton","MON88701 x MON88913 Cotton","MON88701xMON88913","香港商孟山都遠東股份有限公司台灣分公司","2022-08-03","2017-08-03"
"DP-ØØ4114-3xMON-ØØ81Ø-6xSYN-IR6Ø4-5xMON-ØØ6Ø3-6","Stacked trait","Corn","4114xMON810xMIR604xNK603 Maize","4114xMON810xMIR604xNK603","DuPont Taiwan","2020-08-03","2015-08-03"
"MON-Ø1445-2","Single trait","Cotton","Roundup Ready Cotton","MON1445","香港商孟山都遠東股份有限公司台灣分公司","2020-06-13","2015-06-13"
"ACS-BNØØ5-8xACS-BNØØ3-6","Stacked trait","Canola","Stacked Genetically Modified Canola","MS8xRF3","Bayer Taiwan Ltd.","2020-06-26","2015-06-26"
"MON-87427-7","Single trait","Corn","Maize with Tissue-Selective Glyphosate Tolerance Facilitating the Production of Hybrid Maize Seed","MON87427","香港商孟山都遠東股份有限公司台灣分公司","2022-10-24","2012-10-24"
"ACS-GMØØ5-3","Single trait","Soybean","GlufosinateTolerant Soybean","A2704-12","Bayer Taiwan Ltd.","2022-05-01","2007-05-01"
"ACS-GMØØ6-4","Single trait","Soybean","Glufosinate Tolerant Soybean","A5547-127","Bayer Taiwan Ltd.","2020-08-31","2010-08-31"
"SYN-Ø53Ø7-1","Single trait","Corn","Insect-resistant Corn","5307","Syngenta Taiwan Ltd.","2017-12-17","2012-12-17"
"MON-877Ø5-6","Single trait","Soybean","Low Saturated Fat and High Oleic Acid Soybean","MON87705","香港商孟山都遠東股份有限公司台灣分公司","2018-02-08","2013-02-08"
"BPS-CV-127-9","Single trait","Soybean","Imidazolinone Herbicides Tolerant Soybean","BPS-CV-127-9","BASF Taiwan Ltd.","2018-04-16","2013-04-16"
"MON-8746Ø-4xMON-89Ø34-3xMON-88Ø17-3","Stacked trait","Corn","MON87460xMON89034xMON88017 Corn","MON87460xMON89034xMON88017","香港商孟山都遠東股份有限公司台灣分公司","2022-07-27","2012-07-27"
"MON-8746Ø-4xMON-89Ø34-3xMON-ØØ6Ø3-6","Stacked trait","Corn","MON87460xMON89034xNK603 Corn","MON87460xMON89034xNK603","香港商孟山都遠東股份有限公司台灣分公司","2022-07-27","2012-07-27"
"SYN-BTØ11-1xDAS-59122-7xSYN-IR6Ø4-5xDAS-Ø15Ø7-1xMON-ØØØ21-9","Stacked trait","Corn","Bt11xDAS-59122-7xMIR604xTC1507xGA21 Maize","Bt11xDAS-59122-7xMIR604xTC1507xGA21","Syngenta Taiwan Ltd.","2022-07-27","2012-07-27"
"DAS-Ø15Ø7-1xDAS-59122-7xMON-ØØ81Ø-6xSYN-IR6Ø4-5xMON-ØØ6Ø3-6","Stacked trait","Corn","TC1507xDAS-59122-7xMON810xMIR604xNK603 Maize","TC1507xDAS-59122-7xMON810xMIR604xNK603","DuPont Taiwan","2022-07-27","2012-07-27"
"MON-877Ø1-2xMON-89788-1","Stacked trait","Soybean","MON87701 x MON89788 Soybean","MON87701xMON89788","香港商孟山都遠東股份有限公司台灣分公司","2022-09-24","2012-09-24"
"DP-3Ø5423-1xMON-Ø4Ø32-6","Stacked trait","Soybean","DP-305423-1 x 40-3-2 Soybean","DP-305423-1x40-3-2","DuPont Taiwan","2022-06-11","2012-06-11"
