縣市,業者名稱,地址,公告類別,每日最大安全生產量_餐食份
"彰化縣","豐成食品工廠","彰化縣溪湖鎮中山里大溪路1段619巷91弄18、24號","餐盒食品工廠","16,000"
"彰化縣","小寶食品股份有限公司","彰化縣埔心郷瓦北村員鹿路1段457-2號","餐盒食品工廠","15,000"
"彰化縣","金大立便當工廠","彰化縣鹿港鎮玉順里海浴路43-2號","餐盒食品工廠","15,000"
"彰化縣","牛象食品工廠","彰化縣彰化市西興里西興東路37號","餐盒食品工廠","10,000"
"彰化縣","宏一便當工廠","彰化縣彰化市平和里林森路276號","餐盒食品工廠","5,000"
"彰化縣","晶饌餐盒食品工廠","彰化縣永靖鄉永東村永安街93號","餐盒食品工廠","6,000"
"彰化縣","合欣展業股份有限公司","彰化縣彰化市埤頭鄉和豐村斗苑東路178巷50號","餐盒食品工廠","25,000"
"彰化縣","承富實業有限公司","彰化縣田尾鄉饒平村建平路二段88號","餐盒食品工廠","18,000"
"彰化縣","晶巧便當工廠","彰化縣秀水鄉安東村彰水路2段620巷65號","餐盒食品工廠","12,000"
"彰化縣","文華食品工廠","彰化縣田中鎮沙崙里沙崙路371巷51弄58號","餐盒食品工廠","6,000"
