工作地址,發證日期起,發證日期迄,職類等級,任職單位
"臺北市南港區忠孝東路七段369號C1棟9樓","1041229","1081228","中餐烹調丙級","王品餐飲股份有限公司(西堤)台北南港店"
"臺北市松山區復興南路一段39號","1041229","1081228","中餐烹調丙級","虎將餐飲股份有限公司"
"宜蘭縣五結鄉中正路三段87號","1050104","1090103","中餐烹調丙級","海生樓活海產"
"臺北市中正區忠孝西路1段38號B1","1041229","1081228","中餐烹調丙級","露卡有限公司"
"臺北市南港區忠孝東路七段369號C1棟9樓","1041229","1081228","中餐烹調丙級","王品餐飲股份有限公司(西堤)台北南港店"
"新北市中和區立德街88號","1041229","1081228","中餐烹調丙級","共同存在國際餐飲股份有限公司"
"高雄市前金區五福三路59號11樓","1041229","1081228","中餐烹調丙級","大閤屋開發股份有限公司"
"臺北市南港區忠孝東路七段369號C1棟9樓","1041229","1081228","中餐烹調丙級","王品餐飲股份有限公司(西堤)台北南港店"
"臺北市中正區忠孝西路1段38號B1","1041229","1081228","西餐烹調丙級","露卡有限公司"
"臺北市信義區忠孝東路五段10號","1041229","1081228","中餐烹調丙級","台北W飯店"
"新北市汐止區福德一路392巷22弄28號","1041229","1081228","中餐烹調丙級","兩班家有限公司"
"臺北市松山區南東路三段258號2樓","1041229","1081228","中餐烹調丙級","大戶屋股份有限公司(南京復興)"
"臺北市中正區忠孝西路1段38號B1","1041229","1081228","中餐烹調丙級","露卡有限公司"
"臺北市松山區南東路三段258號2樓","1041229","1081228","中餐烹調丙級","大戶屋股份有限公司(南京復興)"
"新北市汐止區大同路一段128號","1041229","1081228","中餐烹調丙級","富信大飯店股份有限公司"
"新北市新莊區民安路188巷5號8樓","1041229","1081228","中餐烹調丙級","璽園餐飲事業股份有限公司"
"新北市新莊區民安路188巷5號8樓","1041229","1081228","中餐烹調丙級","璽園餐飲事業股份有限公司"
"臺北市中山區中山北路二段61號3樓","1041229","1081228","中餐烹調丙級","台灣大戶屋(股)公司"
"新北市汐止區大同路一段128號","1041229","1081228","中餐烹調丙級","富信大飯店股份有限公司"
"新北市汐止區大同路一段128號","1041229","1081228","中餐烹調丙級","富信大飯店股份有限公司"
"新北市中和區中山路二段369號1樓","1041229","1081228","中餐烹調丙級","王品餐飲股份有限公司"
"臺北市中山區中山北路二段61號3樓","1041229","1081228","中餐烹調丙級","台灣大戶屋(股)公司"
"新竹市民族路2號12樓","1050407","1090406","中餐烹調丙級","瓦城泰統股份有限公司"
"臺中市西屯區朝富路99號","1050407","1090406","中餐烹調丙級","林園國際餐飲(股)公司"
"臺中市西屯區朝富路99號","1050407","1090406","中餐烹調丙級","林園國際餐飲(股)公司"
"臺中市西區台灣大道二段406號2樓","1050407","1090406","中餐烹調丙級","王品餐飲股份有限公司陶板屋台中台灣大道店"
"桃園市龍潭區龍潭區高原里高原路891號","1050407","1090406","中餐烹調丙級","小人國企業股份有限公司"
"臺中市西區台灣大道二段406號2樓","1050407","1090406","中餐烹調丙級","王品餐飲股份有限公司陶板屋台中台灣大道店"
"桃園市龍潭區龍潭區高原里高原路891號","1050407","1090406","中餐烹調丙級","小人國企業股份有限公司"
"桃園市龍潭區五福街192號","1050407","1090406","中餐烹調丙級","小人國企業股份有限公司"
"高雄市自由一路100號","1050407","1090406","中餐烹調丙級","高雄醫學大學附設中和醫院"
"臺中市豐原區豐陽路115號","1050408","1090407","中餐烹調丙級","宏曄餐飲股份有限公司"
"桃園市蘆竹區長興路４段６３號","1050906","1090905","中餐烹調丙級","長榮空廚股份有限公司"
"臺南市台南市東區中華東路3段336巷1號","1050904","1090903","中餐烹調丙級","台糖長榮酒店-台南"
"臺中市北屯區東山路二段光西巷78號","1050904","1090903","中餐烹調乙級","台中日光溫泉會館(股)公司"
"高雄市三民區建工路776號13樓","1050902","1090901","中餐烹調丙級","米之香食品有限公司"
"臺南市東區中華東路一段366號4F","1050905","1090904","中餐烹調丙級","漢來美食股份有限公司"
"高雄市鳳山區南華路124號","1050906","1090905","中餐烹調丙級","太師傅企業股份有限公司"
"嘉義市宣信街 266 號","1050906","1090905","中餐烹調丙級","嘉義市宣信國小"
"臺北市大安區信義路二段194號","1041016","1081015","中餐烹調丙級","鼎泰豐小吃店股份有限公司-信義店"
"新竹市科學園區研新路三段3號","1030511","1070510","中餐烹調丙級","知味園食品有限公司駐旺宏電子股份有限公司"
"臺北市士林區中山北路五段250號","1050414","1090413","中餐烹調丙級","漢晶企業有限公司-銘傳大學"
"苗栗縣造橋鄉豐湖村15-3號","1030221","1070220","中餐烹調丙級","香格里拉農牧花卉股份有限公司"
"八德區榮興路1100號","1021229","1061228","中餐烹調丙級","祥鈺企業社"
"臺北市松山區敦化北路230號","1041028","1081027","中餐烹調丙級","蓮田飯店"
"臺中市西屯區台灣大道二段689號","1030802","1070801","中餐烹調丙級","永豐棧酒店"
"臺北市信義區松壽路2號","1031123","1071122","中餐烹調丙級","台北君悅大飯店"
"臺中市清水區中航路三段1號","1030118","1070117","中餐烹調丙級","臺中縣私立嘉陽高級中學"
"臺東縣池上鄉新興村10鄰新興路107號","1040830","1080829","中餐烹調丙級","日暉池上股份有限公司台東分公司"
"桃園縣桃市大同路71號","1030721","1070720","中餐烹調丙級",""
"頭份鎮蘆竹里2鄰永貞路1段57號","1030425","1070424","中餐烹調丙級","神龍本港海產餐廳"
"臺北市台北市中山區林森北路413號","1050521","1090520","中餐烹調丙級","百香融餐飲股份有限公司-儷宴會館"
"臺北市中正區徐州路2號","1030906","1070905","中餐烹調丙級","台灣全聚德股份有限公司"
"苗栗市經國路6段230號","1030120","1070119","中餐烹調丙級","宣泰食品"
"苗栗縣銅鑼鄉苗栗縣銅鑼鄉中平村中平169之3號","1031004","1071003","中餐烹調丙級","258餐廳"
"苗栗縣竹南鎮崎頂里13鄰5號","1050118","1090117","中餐烹調丙級","和峰食品有限公司"
"","1030611","1070610","中餐烹調丙級",""
"新竹市園區三路123號(世界先進)","1061006","1101005","中餐烹調丙級","漢珍企業股份有限公司"
"臺北市中山區林森北路369號","1040801","1080731","中餐烹調丙級","華泰大飯店"
"桃園市桃園區南平路286號","1041111","1081110","中餐烹調丙級","鑫鼎王餐飲(股)公司南平分公司"
"臺北市大安區仁愛路3段160號","1041111","1081110","中餐烹調丙級","福華飯店"
"桃園市桃園區南平路286號","1041111","1081110","中餐烹調丙級","鑫鼎王餐飲(股)公司南平分公司"
"澎湖縣馬公市新店路420號","1041111","1081110","中餐烹調丙級","百世多麗股份有限公司"
"桃園市桃園區南平路286號","1041111","1081110","中餐烹調丙級","鑫鼎王餐飲(股)公司南平分公司"
"南投縣埔里鎮大城里大城五巷5號","1041111","1081110","中餐烹調丙級","蜜月四季餐旅購有限公司-埔里四季料理分公司"
"臺北市大安區仁愛路3段160號","1041111","1081110","中餐烹調丙級","福華飯店"
"桃園市蘆竹區南山路一段200號","1041112","1081111","中餐烹調丙級","萬翔餐廳(股)公司"
"新竹縣竹北市文興路一段273號","1041111","1081110","中餐烹調丙級","法樂朋餐飲有限公司(普拉柏義大利坊BRAVO)"
"南投縣埔里鎮北梅里仁愛路476號","1041111","1081110","中餐烹調丙級","多喜屋餐館有限公司"
"桃園市桃園區南平路286號","1041111","1081110","中餐烹調丙級","鑫鼎王餐飲(股)公司南平分公司"
"臺北市大安區仁愛路3段160號","1041111","1081110","中餐烹調丙級","福華飯店"
"臺北市松山區光復北路95號1F","1041111","1081110","中餐烹調丙級","王品餐飲股份有限公司夏慕尼台北光復北分公司"
